id,name,venue_type,abbreviation,publisher,total_publications,faculty_publications,created_at,updated_at
94,"Proceedings of the International Conference on Wireless Networks,
ICWN '03, June 23 - 26, 2003, Las Vegas, Nevada, USA",conference,,CSREA Press,1,1,2026-01-31 22:35:56.773175,2026-01-31 22:35:56.775528
95,"Proceedings of the International Conference on Parallel and Distributed
Processing Techniques and Applications, PDPTA '03, June 23 - 26,
2003, Las Vegas, Nevada, USA, Volume 2",conference,,CSREA Press,1,1,2026-01-31 22:35:56.775727,2026-01-31 22:35:56.778759
96,"Proceedings of the International Conference on Parallel and Distributed
Processing Techniques and Applications, PDPTA '03, June 23 - 26,
2003, Las Vegas, Nevada, USA, Volume 3",conference,,CSREA Press,1,1,2026-01-31 22:35:56.781448,2026-01-31 22:35:56.784128
97,Int. Arab J. Inf. Technol.,journal,,,1,1,2026-01-31 22:35:56.787085,2026-01-31 22:35:56.790807
98,"Proceedings of the 26th International Conference on Distributed Computing
and Networking, ICDCN 2025, Hyderabad, India, January 4-7, 2025",conference,,ACM,1,1,2026-01-31 22:35:56.797637,2026-01-31 22:35:56.804773
100,"Pattern Recognition - 27th International Conference, ICPR 2024,
Kolkata, India, December 1-5, 2024, Proceedings, Part XXVI",conference,,Springer,1,1,2026-01-31 22:35:56.815808,2026-01-31 22:35:56.819024
93,"World Congress on Nature & Biologically Inspired Computing, NaBIC
2009, 9-11 December 2009, Coimbatore, India",conference,,IEEE,4,4,2026-01-31 22:35:56.717731,2026-01-31 22:36:03.350808
89,"Distributed Computing and Internet Technology, 6th International Conference,
ICDCIT 2010, Bhubaneswar, India, February 15-17, 2010. Proceedings",conference,,Springer,4,4,2026-01-31 22:35:56.662838,2026-01-31 22:36:07.567003
46,"2008 International Conference on Information Technology, ICIT '08,
Bhubaneswar, India, December 17-20, 2008",conference,,IEEE Computer Society,8,8,2026-01-31 22:35:56.078413,2026-01-31 22:36:07.674137
5,Eng. Appl. Artif. Intell.,journal,,,10,10,2026-01-31 22:35:55.375682,2026-01-31 22:36:07.877504
99,"Big Data and Artificial Intelligence - 12th International Conference,
BDA 2024, Hyderabad, India, December 17-20, 2024, Proceedings",conference,,Springer,6,6,2026-01-31 22:35:56.804957,2026-01-31 22:36:07.888630
88,"Information Processing and Management - International Conference on
Recent Trends in Business Administration and Information Processing,
BAIP 2010, Trivandrum, Kerala, India, March 26-27, 2010. Proceedings",conference,,Springer,2,2,2026-01-31 22:35:56.658417,2026-01-31 22:36:08.213045
92,"Distributed Computing and Networking, 10th International Conference,
ICDCN 2009, Hyderabad, India, January 3-6, 2009. Proceedings",conference,,Springer,2,2,2026-01-31 22:35:56.699987,2026-01-31 22:36:09.129338
648,Log. J. IGPL,journal,,,1,1,2026-01-31 22:36:10.197107,2026-01-31 22:36:10.202436
647,Mark. Sci.,journal,,,3,3,2026-01-31 22:36:10.151048,2026-01-31 22:36:10.216112
649,"Intelligent Agents and Multi-Agent Systems, 11th Pacific Rim International
Conference on Multi-Agents, PRIMA 2008, Hanoi, Vietnam, December
15-16, 2008. Proceedings",conference,,Springer,1,1,2026-01-31 22:36:10.222846,2026-01-31 22:36:10.226824
650,"AI 2007: Advances in Artificial Intelligence, 20th Australian Joint
Conference on Artificial Intelligence, Gold Coast, Australia, December
2-6, 2007, Proceedings",conference,,Springer,1,1,2026-01-31 22:36:10.232129,2026-01-31 22:36:10.237508
651,"Agent Computing and Multi-Agent Systems, 10th Pacific Rim International
Conference on Multi-Agents, PRIMA 2007, Bangkok, Thailand, November
21-23, 2007. Revised Papers",conference,,Springer,1,1,2026-01-31 22:36:10.246163,2026-01-31 22:36:10.258214
652,"Database Technologies 2006, Proceedings of the 17th Australasian Database
Conference, ADC 2006, Hobart, Tasmania, Australia, January 16-19
2006",conference,,Australian Computer Society,1,1,2026-01-31 22:36:10.258469,2026-01-31 22:36:10.263586
