id,author1_id,author2_id,collaboration_count,first_collaboration_year,last_collaboration_year,created_at,updated_at
2514,898,899,2,2004,2005,2026-01-31 22:36:07.772329,2026-01-31 22:36:07.785937
2516,528,899,2,2004,2005,2026-01-31 22:36:07.776025,2026-01-31 22:36:07.785938
2517,528,900,1,2004,2004,2026-01-31 22:36:07.797738,2026-01-31 22:36:07.797738
2500,528,893,3,2004,2005,2026-01-31 22:36:07.733100,2026-01-31 22:36:07.806463
2501,880,893,3,2004,2005,2026-01-31 22:36:07.735114,2026-01-31 22:36:07.806464
2515,528,898,3,2003,2005,2026-01-31 22:36:07.774399,2026-01-31 22:36:07.812509
2518,874,898,1,2003,2003,2026-01-31 22:36:07.812713,2026-01-31 22:36:07.812714
2460,528,874,6,2003,2012,2026-01-31 22:36:07.526600,2026-01-31 22:36:07.817802
2519,880,901,1,2003,2003,2026-01-31 22:36:07.820468,2026-01-31 22:36:07.820468
2520,528,901,1,2003,2003,2026-01-31 22:36:07.823788,2026-01-31 22:36:07.823788
2468,878,879,2,2003,2009,2026-01-31 22:36:07.598956,2026-01-31 22:36:07.836547
2469,528,878,2,2003,2009,2026-01-31 22:36:07.601617,2026-01-31 22:36:07.836550
2470,878,880,2,2003,2009,2026-01-31 22:36:07.603759,2026-01-31 22:36:07.836550
2471,528,879,2,2003,2009,2026-01-31 22:36:07.605613,2026-01-31 22:36:07.836550
2472,879,880,2,2003,2009,2026-01-31 22:36:07.607414,2026-01-31 22:36:07.836551
2473,528,880,9,2002,2009,2026-01-31 22:36:07.609446,2026-01-31 22:36:07.842728
2521,528,902,1,2001,2001,2026-01-31 22:36:07.845870,2026-01-31 22:36:07.845870
2522,528,903,1,1986,1986,2026-01-31 22:36:07.853789,2026-01-31 22:36:07.853789
2523,904,905,1,2026,2026,2026-01-31 22:36:07.860962,2026-01-31 22:36:07.860962
2526,134,905,1,2026,2026,2026-01-31 22:36:07.866853,2026-01-31 22:36:07.866853
2527,124,905,1,2026,2026,2026-01-31 22:36:07.868489,2026-01-31 22:36:07.868490
2528,906,907,1,2025,2025,2026-01-31 22:36:07.877000,2026-01-31 22:36:07.877000
2530,134,907,1,2025,2025,2026-01-31 22:36:07.881270,2026-01-31 22:36:07.881270
2531,908,909,1,2024,2024,2026-01-31 22:36:07.888143,2026-01-31 22:36:07.888143
2532,134,908,2,2023,2024,2026-01-31 22:36:07.890531,2026-01-31 22:36:07.898856
2533,134,909,2,2023,2024,2026-01-31 22:36:07.892240,2026-01-31 22:36:07.903336
2529,134,906,2,2023,2025,2026-01-31 22:36:07.879442,2026-01-31 22:36:07.907628
2524,134,904,2,2023,2026,2026-01-31 22:36:07.863217,2026-01-31 22:36:07.915166
2525,124,904,2,2023,2026,2026-01-31 22:36:07.864949,2026-01-31 22:36:07.915167
2535,910,911,1,2022,2022,2026-01-31 22:36:07.921769,2026-01-31 22:36:07.921770
2536,134,911,1,2022,2022,2026-01-31 22:36:07.923595,2026-01-31 22:36:07.923596
2534,134,910,3,2018,2022,2026-01-31 22:36:07.919622,2026-01-31 22:36:07.934502
2537,401,912,1,2025,2025,2026-01-31 22:36:07.937923,2026-01-31 22:36:07.937923
2538,401,913,1,2024,2024,2026-01-31 22:36:07.943541,2026-01-31 22:36:07.943542
2539,914,915,1,2023,2023,2026-01-31 22:36:07.953254,2026-01-31 22:36:07.953255
2540,914,916,1,2023,2023,2026-01-31 22:36:07.955511,2026-01-31 22:36:07.955511
2541,914,917,1,2023,2023,2026-01-31 22:36:07.957239,2026-01-31 22:36:07.957240
2542,914,918,1,2023,2023,2026-01-31 22:36:07.959396,2026-01-31 22:36:07.959396
2543,401,914,1,2023,2023,2026-01-31 22:36:07.961505,2026-01-31 22:36:07.961505
2544,914,919,1,2023,2023,2026-01-31 22:36:07.963237,2026-01-31 22:36:07.963237
2545,915,916,1,2023,2023,2026-01-31 22:36:07.964960,2026-01-31 22:36:07.964961
2546,915,917,1,2023,2023,2026-01-31 22:36:07.966756,2026-01-31 22:36:07.966757
2547,915,918,1,2023,2023,2026-01-31 22:36:07.968834,2026-01-31 22:36:07.968835
2548,401,915,1,2023,2023,2026-01-31 22:36:07.970542,2026-01-31 22:36:07.970542
2549,915,919,1,2023,2023,2026-01-31 22:36:07.972207,2026-01-31 22:36:07.972208
2550,916,917,1,2023,2023,2026-01-31 22:36:07.973866,2026-01-31 22:36:07.973866
2551,916,918,1,2023,2023,2026-01-31 22:36:07.975542,2026-01-31 22:36:07.975542
2552,401,916,1,2023,2023,2026-01-31 22:36:07.977226,2026-01-31 22:36:07.977226
2553,916,919,1,2023,2023,2026-01-31 22:36:07.978877,2026-01-31 22:36:07.978877
2554,917,918,1,2023,2023,2026-01-31 22:36:07.980536,2026-01-31 22:36:07.980536
2555,401,917,1,2023,2023,2026-01-31 22:36:07.982223,2026-01-31 22:36:07.982224
2556,917,919,1,2023,2023,2026-01-31 22:36:07.983906,2026-01-31 22:36:07.983907
2557,401,918,1,2023,2023,2026-01-31 22:36:07.985633,2026-01-31 22:36:07.985633
2558,918,919,1,2023,2023,2026-01-31 22:36:07.987285,2026-01-31 22:36:07.987286
2559,401,919,1,2023,2023,2026-01-31 22:36:07.988926,2026-01-31 22:36:07.988926
2563,401,923,1,2021,2021,2026-01-31 22:36:08.018585,2026-01-31 22:36:08.018586
2561,401,921,2,2021,2023,2026-01-31 22:36:08.002188,2026-01-31 22:36:08.025581
2562,401,922,4,2018,2022,2026-01-31 22:36:08.007324,2026-01-31 22:36:08.054353
2564,401,924,2,2018,2021,2026-01-31 22:36:08.029397,2026-01-31 22:36:08.059752
2568,401,926,1,2017,2017,2026-01-31 22:36:08.089985,2026-01-31 22:36:08.089991
2569,920,927,1,2017,2017,2026-01-31 22:36:08.096358,2026-01-31 22:36:08.096358
2560,401,920,3,2017,2023,2026-01-31 22:36:07.996579,2026-01-31 22:36:08.099962
2570,401,927,1,2017,2017,2026-01-31 22:36:08.100215,2026-01-31 22:36:08.100215
2572,401,929,1,2013,2013,2026-01-31 22:36:08.132232,2026-01-31 22:36:08.132232
2573,401,930,1,2013,2013,2026-01-31 22:36:08.137248,2026-01-31 22:36:08.137249
2565,133,925,5,2013,2017,2026-01-31 22:36:08.063533,2026-01-31 22:36:08.146748
2566,401,925,5,2013,2017,2026-01-31 22:36:08.065770,2026-01-31 22:36:08.146749
2567,133,401,5,2013,2017,2026-01-31 22:36:08.067747,2026-01-31 22:36:08.146749
2574,401,931,1,2012,2012,2026-01-31 22:36:08.172672,2026-01-31 22:36:08.172672
2575,401,932,3,2011,2011,2026-01-31 22:36:08.183223,2026-01-31 22:36:08.194976
2571,401,928,7,2009,2015,2026-01-31 22:36:08.105957,2026-01-31 22:36:08.217716
2577,933,934,1,2005,2005,2026-01-31 22:36:08.238159,2026-01-31 22:36:08.238159
2578,401,934,1,2005,2005,2026-01-31 22:36:08.240376,2026-01-31 22:36:08.240376
2576,401,933,5,2005,2007,2026-01-31 22:36:08.221107,2026-01-31 22:36:08.247076
2579,401,935,1,2005,2005,2026-01-31 22:36:08.251633,2026-01-31 22:36:08.251634
2580,693,935,1,2005,2005,2026-01-31 22:36:08.253793,2026-01-31 22:36:08.253794
2581,95,935,1,2005,2005,2026-01-31 22:36:08.255577,2026-01-31 22:36:08.255578
2584,401,936,1,2004,2004,2026-01-31 22:36:08.270833,2026-01-31 22:36:08.270833
2585,937,938,1,2004,2004,2026-01-31 22:36:08.282775,2026-01-31 22:36:08.282775
2586,401,937,1,2004,2004,2026-01-31 22:36:08.284949,2026-01-31 22:36:08.284950
2587,95,937,1,2004,2004,2026-01-31 22:36:08.286703,2026-01-31 22:36:08.286703
2588,693,937,1,2004,2004,2026-01-31 22:36:08.288392,2026-01-31 22:36:08.288393
2589,401,938,1,2004,2004,2026-01-31 22:36:08.290071,2026-01-31 22:36:08.290072
2591,693,938,1,2004,2004,2026-01-31 22:36:08.293522,2026-01-31 22:36:08.293523
2592,401,939,1,2004,2004,2026-01-31 22:36:08.304275,2026-01-31 22:36:08.304275
2593,95,939,1,2004,2004,2026-01-31 22:36:08.306459,2026-01-31 22:36:08.306459
2594,693,939,1,2004,2004,2026-01-31 22:36:08.308572,2026-01-31 22:36:08.308572
2595,401,940,1,1994,1994,2026-01-31 22:36:08.320279,2026-01-31 22:36:08.320280
2596,401,941,1,1994,1994,2026-01-31 22:36:08.322644,2026-01-31 22:36:08.322645
2597,940,941,1,1994,1994,2026-01-31 22:36:08.324342,2026-01-31 22:36:08.324343
2598,942,943,2,2023,2024,2026-01-31 22:36:08.329924,2026-01-31 22:36:08.346807
2600,943,945,2,2021,2023,2026-01-31 22:36:08.340593,2026-01-31 22:36:08.356287
2601,523,944,1,2021,2021,2026-01-31 22:36:08.359843,2026-01-31 22:36:08.359843
2599,943,944,3,2021,2023,2026-01-31 22:36:08.335402,2026-01-31 22:36:08.363036
2602,523,943,1,2021,2021,2026-01-31 22:36:08.363343,2026-01-31 22:36:08.363343
2603,943,946,1,2013,2013,2026-01-31 22:36:08.369603,2026-01-31 22:36:08.369603
2604,943,947,1,2008,2008,2026-01-31 22:36:08.374960,2026-01-31 22:36:08.374960
2605,943,948,1,2008,2008,2026-01-31 22:36:08.380394,2026-01-31 22:36:08.380395
2607,943,950,1,2007,2007,2026-01-31 22:36:08.396174,2026-01-31 22:36:08.396175
2606,943,949,3,2006,2008,2026-01-31 22:36:08.390898,2026-01-31 22:36:08.408455
2608,943,951,1,2004,2004,2026-01-31 22:36:08.411961,2026-01-31 22:36:08.411962
2609,95,952,1,2025,2025,2026-01-31 22:36:08.419519,2026-01-31 22:36:08.419519
2610,952,953,1,2025,2025,2026-01-31 22:36:08.421736,2026-01-31 22:36:08.421736
2611,952,954,1,2025,2025,2026-01-31 22:36:08.423493,2026-01-31 22:36:08.423493
2615,954,955,2,2023,2024,2026-01-31 22:36:08.434914,2026-01-31 22:36:08.476275
2616,953,955,2,2023,2024,2026-01-31 22:36:08.437160,2026-01-31 22:36:08.476275
2617,95,955,2,2023,2024,2026-01-31 22:36:08.438633,2026-01-31 22:36:08.476275
