id,title,dblp_key,publication_type,year,journal,booktitle,source_pids
1265,"Training by ART-2 and Classification of Ballistic Missiles Using
Hidden Markov Model",DBLP:conf/premi/SinghP13,conference,2013,,"Pattern Recognition and Machine Intelligence - 5th International Conference,
PReMI 2013, Kolkata, India, December 10-14, 2013. Proceedings",98/255
1067,"Vein Pattern Indexing Using Texture and Hierarchical Decomposition
of Delaunay Triangulation",DBLP:conf/sscc/KavatiPB13,conference,2013,,"Security in Computing and Communications - International Symposium,
SSCC 2013, Mysore, India, August 22-24, 2013. Proceedings",91/1525
433,Viability of the bulk synchronous parallel model for science on cloud,DBLP:conf/ieeehpcs/JakovitsSK13,conference,2013,,"International Conference on High Performance Computing & Simulation,
HPCS 2013, Helsinki, Finland, July 1-5, 2013",09/1571
439,Adapting scientific computing problems to clouds using MapReduce,DBLP:journals/fgcs/SriramaJV12,article,2012,Future Gener. Comput. Syst.,,09/1571
247,Advance Planning and Reservation in a Grid System,DBLP:conf/ndt/UmarAR12,conference,2012,,"Networked Digital Technologies - 4th International Conference, NDT
2012, Dubai, UAE, April 24-26, 2012. Proceedings, Part I",07/5281-1;97/3869
1292,A Framework Studio for Component Reusability,DBLP:journals/corr/abs-1202-5609,article,2012,CoRR,,98/6017
72,"A Greedy Heuristic and Its Variants for Minimum Capacitated Dominating
Set",DBLP:conf/ic3/PotluriS12,conference,2012,,"Contemporary Computing - 5th International Conference, IC3 2012,
Noida, India, August 6-8, 2012. Proceedings",01/1744-1;16/5380
69,A hybrid heuristic for the set covering problem,DBLP:journals/or/SundarS12,article,2012,Oper. Res.,,01/1744-1
1295,A Methodology to manage victim components using CBO measure,DBLP:journals/corr/abs-1207-4938,article,2012,CoRR,,98/6017
443,An Adaptive Mediation Framework for Mobile P2P Social Content Sharing,DBLP:conf/icsoc/ChangSL12,conference,2012,,"Service-Oriented Computing - 10th International Conference, ICSOC
2012, Shanghai, China, November 12-15, 2012. Proceedings",09/1571
993,An Algebra of Social Distance,DBLP:conf/icdcit/Mohanty12,conference,2012,,"Distributed Computing and Internet Technology - 8th International
Conference, ICDCIT 2012, Bhubaneswar, India, February 2-4, 2012.
Proceedings",74/5678
949,"A New Secure Route Discovery Protocol for MANETs to Prevent Hidden
Channel Attacks",DBLP:journals/ijnsec/AmmayappanSN12,article,2012,Int. J. Netw. Secur.,,73/4368
65,"An exact approach for maximizing the lifetime of sensor networks with
adjustable sensing ranges",DBLP:journals/cor/RossiSS12,article,2012,Comput. Oper. Res.,,01/1744-1
144,A secure and optimized mobile payment framework with formal verification,DBLP:conf/securit/AhamadSU12,conference,2012,,"First International Conference on Security of Internet of Things,
SECURIT '12, Kollam, India - August 17 - 19, 2012",04/3517
139,A Secure Mobile Wallet Framework with Formal Verification,DBLP:journals/ijapuc/AhamadSU12,article,2012,Int. J. Adv. Pervasive Ubiquitous Comput.,,04/3517
1070,A Structure Based Approach for Mathematical Expression Retrieval,DBLP:conf/miwai/KumarAB12,conference,2012,,"Multi-disciplinary Trends in Artificial Intelligence, 6th International
Workshop, MIWAI 2012, Ho Chi Minh City, Vietnam, December 26-28,
2012. Proceedings",91/1525;97/3869
70,A swarm intelligence approach to the early/tardy scheduling problem,DBLP:journals/swevo/SundarS12,article,2012,Swarm Evol. Comput.,,01/1744-1
951,A syntactic PR approach to Telugu handwritten character recognition,DBLP:conf/icvgip/PradhanN12,conference,2012,,"Proceeding of the workshop on Document Analysis and Recognition, DAR@ICVGIP
2012, Mumbai, India, December 16, 2012",73/4368
752,"Changing the structure of complex visuo-motor sequences selectively
activates the fronto-parietal network",DBLP:journals/neuroimage/PammiMASBD12,article,2012,NeuroImage,,50/1424
244,Color and Texture Image Segmentation,DBLP:conf/miwai/KumarAR12,conference,2012,,"Multi-disciplinary Trends in Artificial Intelligence, 6th International
Workshop, MIWAI 2012, Ho Chi Minh City, Vietnam, December 26-28,
2012. Proceedings",07/5281-1;97/3869
68,"Column generation algorithm for sensor coverage scheduling under bandwidth
constraints",DBLP:journals/networks/RossiSS12,article,2012,Networks,,01/1744-1
242,Concurrent HCM for Authorizing Grid Resources,DBLP:conf/icdcit/KaiialiRWA12,conference,2012,,"Distributed Computing and Internet Technology - 8th International
Conference, ICDCIT 2012, Bhubaneswar, India, February 2-4, 2012.
Proceedings",07/5281-1;31/566;97/3869
1266,Content Contributor Management and Network Effects in a UGC Environment,DBLP:journals/mktsci/ZhangEPR12,article,2012,Mark. Sci.,,98/255
239,Correlating Fuzzy and Rough Clustering,DBLP:journals/fuin/JoshiLR12,article,2012,Fundam. Informaticae,,07/5281-1
805,CRT based secured encryption scheme,DBLP:conf/rait/RaoB12,conference,2012,,"1st International Conference on Recent Advances in Information Technology,
RAIT 2012, Dhanbad, India, March 15-17, 2012",50/971;91/1525
241,Design of n-Gram Based Dynamic Pre-fetching for DSM,DBLP:conf/ica3pp/RamisettiWR12,conference,2012,,"Algorithms and Architectures for Parallel Processing - 12th International
Conference, ICA3PP 2012, Fukuoka, Japan, September 4-7, 2012, Proceedings,
Part II",07/5281-1;31/566
862,Developing Heuristic for Subgraph Isomorphism Problem,DBLP:conf/ic3/KaijarB12,conference,2012,,"Contemporary Computing - 5th International Conference, IC3 2012,
Noida, India, August 6-8, 2012. Proceedings",63/2890
1068,Discrete logarithm problem using index calculus method,DBLP:journals/mcm/PadmavathyB12,article,2012,Math. Comput. Model.,,91/1525
444,"Dynamic configuration of mobile cloud middleware based on traffic
load",DBLP:conf/mass/FloresS12,conference,2012,,"9th IEEE International Conference on Mobile Ad-Hoc and Sensor Systems,
MASS 2012, Las Vegas, NV, USA, October 8-11, 2012",09/1571
1237,Dynamic ROI Extraction Algorithm for Palmprints,DBLP:conf/swarm/KalluriPA12,conference,2012,,"Advances in Swarm Intelligence - Third International Conference, ICSI
2012, Shenzhen, China, June 17-20, 2012 Proceedings, Part II",97/3869
445,"Evaluation of embeddable graph manipulation libraries in memory constrained
environments",DBLP:conf/racs/SorS12,conference,2012,,"Research in Applied Computation Symposium, RACS '12, San Antonio,
TX, USA, October 23-26, 2012",09/1571
249,"Extracting Incidental and Global Knowledge through Compact Pattern
Trees in Distributed Environment",DBLP:conf/rskt/RaniPR12,conference,2012,,"Rough Sets and Knowledge Technology - 7th International Conference,
RSKT 2012, Chengdu, China, August 17-20, 2012. Proceedings",07/5281-1;77/10593
446,"Framework for monitoring and testing web application scalability on
the cloud",DBLP:conf/wicsa/VasarSD12,conference,2012,,"2012 Joint Working IEEE/IFIP Conference on Software Architecture
and European Conference on Software Architecture, WICSA/ECSA 2012,
Helsinki, Finland, August 20-24, 2012 - Companion Volume",09/1571
198,Fuzzy rough granular self-organizing map and fuzzy rough entropy,DBLP:journals/tcs/GanivadaRP12,article,2012,Theor. Comput. Sci.,,06/10134
71,Grenade Explosion Method for Maximum Weight Clique Problem,DBLP:conf/ic3/PallantlaS12,conference,2012,,"Contemporary Computing - 5th International Conference, IC3 2012,
Noida, India, August 6-8, 2012. Proceedings",01/1744-1
829,"Hybrid classifier based on particle swarm optimization trained auto
associative neural networks as non-linear principal component analyzer:
Application to banking",DBLP:conf/isda/RaviNM12,conference,2012,,"12th International Conference on Intelligent Systems Design and Applications,
ISDA 2012, Kochi, India, November 27-29, 2012",55/8654
67,"Hybrid heuristics for the single machine scheduling problem with quadratic
earliness and tardiness costs",DBLP:journals/mlc/0001VM12,article,2012,Int. J. Mach. Learn. Cybern.,,01/1744-1
549,"Intelligent Sensing Systems for Measuring Wellness Indices of the
Daily Activities for the Elderly",DBLP:conf/intenv/SuryadevaraQM12,conference,2012,,"2012 Eighth International Conference on Intelligent Environments,
Guanajuato, Mexico, June 26-29, 2012",21/10736
179,Layered Security Architecture for Masquerade Attack Detection,DBLP:conf/dbsec/SaljooghinejadB12,conference,2012,,"Data and Applications Security and Privacy XXVI - 26th Annual IFIP
WG 11.3 Conference, DBSec 2012, Paris, France, July 11-13,2012.
Proceedings",05/2858
145,"MESFET DC Model Parameter Extraction Using Adaptive Accelerated
Exploration Particle Swarm Optimizer",DBLP:conf/semcco/AliSU12,conference,2012,,"Swarm, Evolutionary, and Memetic Computing - Third International Conference,
SEMCCO 2012, Bhubaneswar, India, December 20-22, 2012. Proceedings",04/3517
447,"Mobile Sensor Data Classification for Human Activity Recognition using
MapReduce on Cloud",DBLP:journals/procedia/PaniaguaFS12,conference,2012,,"Proceedings of the 3rd International Conference on Ambient Systems,
Networks and Technologies (ANT 2012), the 9th International Conference
on Mobile Web Information Systems (MobiWIS-2012), Niagara Falls, Ontario,
Canada, August 27-29, 2012",09/1571
